Time Index,Time,C1,C2,C3,C4
1,0,0,0,0,0
2,0.5,194.6678181713876086,113.2329399693101095,-nan,-nan
3,1,320.4913194931104385,198.0895324032107112,113.2310913038200653,-nan
4,1.5,487.4874258788106545,323.7086485693272948,199.2921170819007841,113.2292427603368168
5,2,124.7088610066200971,491.4027419065544109,325.1770852543035062,199.9041561019203925
6,2.5,167.2050165776858535,124.9665553845875934,493.6324758321517834,326.0315637814942988
7,3,237.0105292959740098,167.7289053805612582,125.1680588297325443,495.0846068034700238
8,3.5,137.0974812904992177,237.8994943961831154,168.0949758687140729,125.3092630255526529
9,4,219.0498180838381472,137.2357691406150479,238.5527987148840623,168.3653278265890094
10,4.5,152.9012369489200864,219.8322732027812378,137.3410722982489744,239.0533253321320615
11,5,143.3533622858749652,153.1248082909912398,220.4427980489679442,137.4238480797935722
12,5.5,152.6752435044081722,143.4714084649373262,153.3026669051331226,220.932661268684285
13,6,158.8085609904802311,150.6646299853665312,138.2250206238435055,140.4283684315038556
14,6.125,163.0103906877019995,155.5259699493536232,147.2442128968062889,134.7628522531030626
15,6.375,168.4236996205349328,161.4607098237471234,153.9933303242015086,145.7118189297717663
16,6.625,173.6473527173297384,167.0040610362973439,160.088167252732319,152.6406534201125851
17,6.875,178.7953726252581816,172.3154242664234062,165.7446073385330862,158.8712142076232681
18,7.125,183.9586608945423905,177.5191365367406888,171.1322702326137914,164.6248818407565864
19,7.375,189.2113443059374731,182.7137521641423064,176.3838934058013592,170.078329975850977
20,7.625,194.6153200103295546,187.9790355376789819,181.6045181190828828,175.3708447786852105
21,7.875,200.2234969250882273,193.3810534494096771,186.8788052264756629,180.6128238019475702
22,8.125,206.0821054619155177,198.9758252851933094,192.2764993423698172,185.8931036697156287
23,8.375,210.4991516053255225,203.2251996875902762,196.397999709891991,189.9354946157309314
24,8.5,215.0724151110275386,207.6077135479233675,200.6245866542512033,194.0481384680209089
25,8.75,219.8148184288748439,212.1386223447708801,204.9748025696733009,198.2542859926344363
26,8.875,224.7384953459096835,216.8319972762533894,209.4653700124867157,202.5743724269133565
27,9.125,229.8548981000898266,221.7009320754808357,214.1115562868855022,207.0266325326091987
28,9.25,235.1748711914269734,226.7576946958409962,218.9274451099219334,211.6275582249014917
29,9.5,240.7086979225157677,232.0138355381083102,223.9261374497613133,216.3922395855187801
30,9.625,246.4661242442037121,237.48026081812705,229.1198974293472475,221.3346180200754532
31,9.875,252.4563634382778901,243.1672774957145862,234.5202548726635143,226.4676720899153679
32,10,258.6880844242914463,249.0846146338305687,240.1380730383084199,231.8035508584990509
33,10.25,265.1693859533261843,255.2414249509209867,245.9835879380231916,237.3536656158698861
34,10.375,271.9077585920416595,261.6462695449910143,252.066424111508411,243.1287480417664426
35,10.625,278.9100361659147893,268.3070882195804643,258.3955906446000199,249.1388808805489816
36,10.75,286.1823381918362657,275.231157469033576,264.979460453200204,255.3935057889958387
37,11,121.1248305300984072,285.2782703227736647,274.4567991725831462,264.3210823601235688
38,11.25,121.141978459090339,121.1233226258932092,284.4721642695511719,273.7676247746684339
39,11.5,121.1584087301579018,121.1405579570285056,121.121963114390141,283.7521155443616294
40,11.75,121.1741157224525978,121.1570736525036125,121.139273102426813,121.1207362212606995
41,12,121.1890974121713356,121.1728637962553847,121.1558623819222049,121.1381098816418671
42,12.25,121.2033554740557122,121.1879260832514973,121.1717246974497471,121.1547624793293778
43,12.5,121.2168952381954767,121.2022619345163434,121.1868574207281029,121.1706873938071851
44,12.75,121.2297255347010179,121.2158764626193914,121.2012616780523047,121.1858816481209971
45,13,121.2418584542210596,121.2287783212434675,121.2149423238653583,121.2003460478463239
46,13.25,121.2533090483109675,121.240979467674137,121.2279077949729782,121.2140851623301074
47,13.5,121.2640949901206113,121.2524948629281596,121.2401698749854972,121.2271071834477709
48,13.75,121.2742362126637801,121.2633421305789483,121.2517433943299636,121.239423692094519
49,14,121.2837545389974707,121.273541192024652,121.262645887416312,121.2510493583012021
50,14.25,121.2926733159556818,121.2831138929216195,121.272897225142259,121.2620015970272789
51,14.5,121.3010170606426072,121.29208363274536,121.2825192378242321,121.2723001982153477
52,14.75,121.3088111266957583,121.3004750069344766,121.2915353408133399,121.2819669465303321
53,15,121.3160813953858792,121.3083134688217086,121.2999701724901911,121.2910252433211866
54,15.25,121.3228539949277405,121.3156250165629331,121.3078492520292571,121.2994997407257216
55,15.5,121.3291550499332914,121.32243590854128,121.3151986622852689,121.3074159954896345
56,15.75,121.3350104617363314,121.3287724092459854,121.3220447613813917,121.3148001479907947
57,16,121.3404457193443591,121.3346605663951721,121.328413925069583,121.3216786301523769
58,16.25,121.3454857400110711,121.3401260190761661,121.3343323206750881,121.3280779043867739
59,16.5,121.3501547378492944,121.3451938358962678,121.3398257124206339,121.3340242344295206
60,16.75,121.3544761185004575,121.3498883815519633,121.3449192971276318,121.3395434878839012
61,17,121.3584723976135393,121.3542332098092089,121.3496375686933106,121.3446609694822484
62,17.25,121.3621651407470239,121.3582509806207383,121.3540042093189584,121.3494012834586044
63,17.5,121.3655749222621978,121.3619633989609383,121.3580420051901569,121.353788222993856
64,17.75,121.3687213008109609,121.3653911729139026,121.3617727841611469,121.3578446844135215
65,18,121.3708079266684337,121.3676755877213509,121.3642715708353705,121.36057544241703
66,18.125,121.3720689043857988,121.3690615982095125,121.3657938367293809,121.3622459835557521
67,18.25,121.3727758219098973,121.3698407427580577,121.3666519935012928,121.3631904660725098
68,18.3125,121.3731525952011623,121.3702567000078716,121.3671109166238011,121.3636964472983095
69,18.375,121.3735250410424555,121.3706678223291675,121.3675644429272324,121.3641964106421653
70,18.4375,121.373717687892281,121.3708806695878195,121.3677994664908653,121.3644557529909918
71,18.4688,121.3738157120010897,121.3709890247018848,121.367919171025278,121.3645879124838558
72,18.5,121.3739134340331702,121.3710970411472374,121.3680384961719483,121.3647196473433496
73,18.5312,121.3740108548522585,121.3712047199087181,121.3681574430523398,121.3648509588449969
74,18.5625,121.3741079753200154,121.3713120619686947,121.3682760127852021,121.3649818482611238
75,18.5938,121.3742047962960271,121.3714190683071763,121.3683942064864425,121.3651123168608024
76,18.625,121.3743013186378334,121.371525739901756,121.3685120252691974,121.3652423659098218
77,18.6562,121.3743500108230933,121.3715795653985907,121.3685714908292255,121.3653080218422815
78,18.6719,121.3743744662864543,121.3716066024531131,121.3686013648395203,121.3653410102050998
79,18.6875,121.3743989025410883,121.3716336179564621,121.3686312146890174,121.3653739715038995
80,18.7031,121.3744233196010072,121.3716606119246393,121.3686610403959634,121.3654069057594711
81,18.7188,121.374447717480237,121.3716875843736318,121.3686908419786334,121.3654398129926051
82,18.7344,121.374472096192747,121.3717145353194269,121.3687206194552317,121.3654726932240919
83,18.75,121.3744964557525634,121.3717414647780259,121.3687503728440049,121.3655055464746795
84,18.7656,121.3745207961736412,121.3717683727653593,121.3687801021631856,121.365538372765144
85,18.7812,121.3745451174699497,121.3717952592974143,121.3688098074309352,121.3655711721162049
86,18.7969,121.3745573055124396,121.3718087337008456,121.3688246954441183,121.3655876119754993
87,18.8047,121.3745634064080861,121.3718154787169397,121.3688321483305117,121.3655958419917624
88,18.8125,121.3745695060997321,121.3718222223819936,121.3688395997020137,121.3656040703108232
89,18.8203,121.3745756045875908,121.3718289646962631,121.3688470495589087,121.36561229693298
90,18.8281,121.3745817018718895,121.3718357056600041,121.3688544979015091,121.3656205218586024
91,18.8359,121.3745877979528558,121.3718424452734723,121.3688619447300994,121.3656287450879745
92,18.8438,121.3745938928306884,121.3718491835369093,121.3688693900449493,121.3656369666214516
93,18.8516,121.3745999865056433,121.3718559204505709,121.3688768338463433,121.3656451864593606
94,18.8594,121.3746060789779051,121.3718626560147129,121.3688842761345938,121.3656534046020283
95,18.8672,121.3746121702477296,121.3718693902295769,121.368891716909971,121.3656616210497674
96,18.875,121.3746152176017006,121.371872759291179,121.3688954395182833,121.3656657317960992
97,18.8789,121.3746167417088486,121.3718744443109756,121.3688973013781407,121.3656677878005041
98,18.8828,121.374618265740736,121.3718761292463029,121.3688991631432543,121.3656698436987824
99,18.8867,121.37461978969732,121.3718778140971324,121.3689010248136526,121.3656718994909056
100,18.8906,121.3746213135786149,121.3718794988634926,121.3689028863892929,121.3656739551769022
101,18.8945,121.374622837384635,121.3718811835453835,121.3689047478702321,121.365676010756772
102,18.8984,121.3746243611153801,121.3718828681427766,121.3689066092564417,121.3656780662305152
103,18.9023,121.3746258847708361,121.3718845526557146,121.3689084705479502,121.365680121598146
104,18.9062,121.3746274083510457,121.3718862370841975,121.3689103317447291,121.3656821768596501
105,18.9102,121.3746289318559803,121.3718879214281969,121.3689121928468069,121.365684232015056
106,18.9141,121.3746296937160025,121.3718887637224668,121.3689131235367853,121.3656852597505917
107,18.916,121.3746300746729077,121.3718891849001835,121.3689135889165129,121.3656857736578161
108,18.918,121.3746304556250948,121.3718896060726138,121.3689140542903289,121.3656862875584181
109,18.9199,121.3746308365725923,121.3718900272397576,121.3689145196582189,121.3656868014523695
110,18.9219,121.3746312175153719,121.371890448401615,121.3689149850201829,121.3656873153396987
111,18.9238,121.3746315984534476,121.3718908695582002,121.3689154503762353,121.3656878292203771
112,18.9258,121.3746319793868196,121.3718912907094989,121.3689159157263475,121.3656883430944333
113,18.9277,121.3746323603154877,121.3718917118555254,121.368916381070548,121.3656888569618673
114,18.9297,121.3746327412394521,121.3718921329962654,121.3689168464088368,121.3656893708226505
115,18.9316,121.3746329317081631,121.3718923435742738,121.3689170790866569,121.3656896277629045
116,18.9326,121.3746330269441813,121.3718924488651965,121.3689171954277413,121.365689756235497
117,18.9336,121.3746331221799295,121.371892554155778,121.3689173117684561,121.3656898847076775
118,18.9346,121.3746332174153792,121.371892659446047,121.3689174281088015,121.36569001317946
119,18.9355,121.3746333126505164,121.3718927647359607,121.3689175444487631,121.365690141650802
120,18.9365,121.3746334078853693,121.3718928700255617,121.3689176607883695,121.3656902701217462
121,18.9375,121.3746335031199379,121.3718929753148359,121.3689177771276064,121.3656903985922639
122,18.9385,121.3746335983542082,121.371893080603769,121.3689178934664596,121.3656905270623696
123,18.9395,121.37463369358818,121.3718931858923753,121.3689180098049576,121.3656906555320631
124,18.9404,121.3746337888218676,121.3718932911806547,121.3689181261430861,121.3656907840013446
125,18.9414,121.3746338364391164,121.3718933438252634,121.3689181843126903,121.3656908482366106
126,18.9419,121.3746338602478545,121.3718933701476885,121.3689182133976203,121.3656908803543786
127,18.9424,121.3746338840565784,121.3718933964700994,121.3689182424825361,121.3656909124721466
128,18.9429,121.3746339078652738,121.3718934227924962,121.3689182715674377,121.3656909445898719
129,18.9434,121.3746339316739551,121.3718934491148502,121.3689183006522967,121.3656909767075831
130,18.9438,121.3746339554826079,121.3718934754372043,121.3689183297371414,121.3656910088252516
131,18.9443,121.3746339792912607,121.37189350175953,121.368918358821972,121.3656910409429059
132,18.9448,121.3746340030998851,121.3718935280818272,121.3689183879067741,121.3656910730605318
133,18.9453,121.3746340269084953,121.3718935544041102,121.3689184169915478,121.3656911051781435
134,18.9458,121.3746340507170771,121.371893580726379,121.3689184460762931,121.3656911372957126
135,18.9463,121.3746340745256447,121.3718936070486194,121.3689184751610242,121.3656911694132674
136,18.9468,121.374634098334198,121.3718936333708314,121.368918504245741,121.3656912015307796
137,18.9473,121.3746341221427372,121.3718936596930291,121.3689185333304295,121.3656912336482776
138,18.9478,121.3746341459512479,121.3718936860152127,121.3689185624150753,121.3656912657657472
139,18.9482,121.3746341697597302,121.3718937123373678,121.3689185914997211,121.3656912978831883
140,18.9487,121.3746341935682267,121.3718937386595087,121.3689186205843242,121.3656913300006011
141,18.9492,121.3746342173766806,121.3718937649816212,121.3689186496689274,121.3656913621180138
