dim_1,dim_2,dim_3,value
1,1,1,-4.03468e+08
1,1,2,-1.94256e+08
1,1,3,-9.60919e+07
1,1,4,-1.63811e+07
1,1,5,-2.4556e+06
1,1,6,-171794
1,1,7,-3517.92
1,1,8,-235.113
1,1,9,-3.51585e-05
1,1,10,0.0000000000002798
1,1,11,1.28037e-20
1,1,12,1.80898e-28
1,1,13,-2.13036e-35
1,1,14,-1.95208e-42
1,1,15,-1.2184e-48
1,1,16,0
1,2,1,-4.95968e+08
1,2,2,-7.63403e+08
1,2,3,-1.07788e+09
1,2,4,-2.10441e+08
1,2,5,-3.45041e+07
1,2,6,-2.54763e+06
1,2,7,-59279.5
1,2,8,-4299.65
1,2,9,-0.000777092
1,2,10,0.0000000001616425
1,2,11,-6.81929e-17
1,2,12,-1.28903e-24
1,2,13,2.64705e-31
1,2,14,3.03421e-38
1,2,15,2.3192e-44
1,2,16,0
1,3,1,-3.32289e+09
1,3,2,-1.31182e+10
1,3,3,-1.89628e+09
1,3,4,-1.96835e+09
1,3,5,-3.01173e+08
1,3,6,-2.48258e+07
1,3,7,-710672
1,3,8,-50811.2
1,3,9,-0.00254312
1,3,10,0.0000000354855935
1,3,11,0.0000000000000182
1,3,12,2.57372e-21
1,3,13,-1.54544e-27
1,3,14,-2.3177e-34
1,3,15,-2.08939e-40
1,3,16,0
1,4,1,-1.77376e+10
1,4,2,-7.15002e+10
1,4,3,-4.95806e+10
1,4,4,-2.48841e+09
1,4,5,-2.0178e+09
1,4,6,-1.78073e+08
1,4,7,-6.66825e+06
1,4,8,-469724
1,4,9,-1.48523
1,4,10,0.0000070160959976
1,4,11,0.0000000000119623
1,4,12,-9.05426e-18
1,4,13,4.26233e-24
1,4,14,1.07131e-30
1,4,15,1.10204e-36
1,4,16,0
1,5,1,-7.53311e+10
1,5,2,-3.00491e+11
1,5,3,-2.17083e+11
1,5,4,-6.48428e+10
1,5,5,-1.31271e+09
1,5,6,-1.24315e+09
1,5,7,-5.1328e+07
1,5,8,-3.40116e+06
1,5,9,44.1638075913194328
1,5,10,0.0010466590028465
1,5,11,0.000000008618657
1,5,12,0.0000000000000059
1,5,13,-7.38458e-21
1,5,14,-3.92604e-27
1,5,15,-4.06183e-33
1,5,16,0
1,6,1,-2.50378e+11
1,6,2,-1.05623e+12
1,6,3,-7.7307e+11
1,6,4,-2.34802e+11
