dim_1,dim_2,dim_3,value
1,1,1,1370055402832441088
1,1,2,1882860892552196608
1,1,3,185964935651002784
1,1,4,430729772274812.6875
1,1,5,10693725843626.98046875
1,1,6,215233323599.735260009765625
1,1,7,872589921.2117763757705688
1,1,8,19626822.0391182862222195
1,1,9,0.3039757710159938
1,1,10,0
1,1,11,0
1,1,12,0
1,1,13,0
1,1,14,0
1,1,15,0
1,1,16,0
1,2,1,17314808446476083200
1,2,2,23815632252956196864
1,2,3,2358765014621125632
1,2,4,5710031520979785
1,2,5,144085881919631.78125
1,2,6,2925266320569.63671875
1,2,7,12372878230.9023265838623047
1,2,8,278301536.6352932453155518
1,2,9,6.7458352825736307
1,2,10,0
1,2,11,0
1,2,12,0
1,2,13,0
1,2,14,0
1,2,15,0
1,2,16,0
1,3,1,151348266087908769792
1,3,2,208330385441787019264
1,3,3,20685922064998244352
1,3,4,52086922241680192
1,3,5,1333846701072623
1,3,6,27299025066011.46875
1,3,7,119988279907.587127685546875
1,3,8,2698939567.6049661636352539
1,3,9,101.7245700995374875
1,3,10,0
1,3,11,0
1,3,12,0
1,3,13,0
1,3,14,0
1,3,15,0
1,3,16,0
1,4,1,1048529495715456745472
1,4,2,1444340406200787533824
1,4,3,143759634440622800896
1,4,4,375577526688537088
1,4,5,9753426522701544
1,4,6,201186630563091.0625
1,4,7,917206909425.63720703125
1,4,8,20631816715.0682525634765625
1,4,9,1227.2395842341954904
1,4,10,0
1,4,11,0
1,4,12,0
1,4,13,0
1,4,14,0
1,4,15,0
1,4,16,0
1,5,1,5763025292403829374976
1,5,2,7943940398299330117632
1,5,3,792491712976596893696
1,5,4,2143585526582627840
1,5,5,56423370958096168
1,5,6,1172873595777952.75
1,5,7,5539418064570.583984375
1,5,8,124611880002.248931884765625
1,5,9,12063.9644820692847134
1,5,10,0
1,5,11,0
1,5,12,0
1,5,13,0
1,5,14,0
1,5,15,0
1,5,16,0
1,6,1,23975447120213713092608
1,6,2,33068831157530650476544
1,6,3,3305799694515700760576
1,6,4,9231836962174656512
1,6,5,246170326633817920
1,6,6,5156130282164286
1,6,7,25199678083478.9296875
1,6,8,566929886106.4412841796875
1,6,9,94098.0933547054883093
1,6,10,0
1,6,11,0
1,6,12,0
1,6,13,0
1,6,14,0
1,6,15,0
1,6,16,0
1,7,1,68546772201129377792000
1,7,2,94588154994172222242816
1,7,3,9470652262265162563584
1,7,4,27161300061292244992
1,7,5,733107876599025024
1,7,6,15468345137402024
1,7,7,78116390110702.015625
1,7,8,1757669339263.16943359375
1,7,9,548671.4322585067711771
1,7,10,0
1,7,11,0
1,7,12,0
1,7,13,0
1,7,14,0
1,7,15,0
1,7,16,0
1,8,1,109277811545334293200896
1,8,2,150785778485510407192576
1,8,3,15097688988703711559680
1,8,4,43789193868115673088
1,8,5,1193813762456246784
1,8,6,25355046741639584
1,8,7,131894334784392.421875
1,8,8,2968387776755.79833984375
1,8,9,2130485.1449361024424434
1,8,10,0
1,8,11,0
1,8,12,0
1,8,13,0
1,8,14,0
1,8,15,0
1,8,16,0
1,9,1,46880499457416425897984
1,9,2,64438806629838925856768
1,9,3,6375652737483538432000
1,9,4,16525165902021414912
1,9,5,447132484066590592
1,9,6,9491445557619860
1,9,7,49625502166856.171875
1,9,8,1117523574675.92333984375
1,9,9,4139053.364512809086591
1,9,10,0
1,9,11,0
1,9,12,0
1,9,13,0
1,9,14,0
1,9,15,0
1,9,16,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,0
1,10,5,0
1,10,6,0
1,10,7,0
1,10,8,0
1,10,9,0
1,10,10,0
1,10,11,0
1,10,12,0
1,10,13,0
1,10,14,0
1,10,15,0
1,10,16,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,11,5,0
1,11,6,0
1,11,7,0
1,11,8,0
1,11,9,0
1,11,10,0
1,11,11,0
1,11,12,0
1,11,13,0
1,11,14,0
1,11,15,0
1,11,16,0
1,12,1,0
1,12,2,0
1,12,3,0
1,12,4,0
1,12,5,0
1,12,6,0
1,12,7,0
1,12,8,0
1,12,9,0
1,12,10,0
1,12,11,0
1,12,12,0
1,12,13,0
1,12,14,0
1,12,15,0
1,12,16,0
1,13,1,0
1,13,2,0
1,13,3,0
1,13,4,0
1,13,5,0
1,13,6,0
1,13,7,0
1,13,8,0
1,13,9,0
1,13,10,0
1,13,11,0
1,13,12,0
1,13,13,0
1,13,14,0
1,13,15,0
1,13,16,0
1,14,1,0
1,14,2,0
1,14,3,0
1,14,4,0
1,14,5,0
1,14,6,0
1,14,7,0
1,14,8,0
1,14,9,0
1,14,10,0
1,14,11,0
1,14,12,0
1,14,13,0
1,14,14,0
1,14,15,0
1,14,16,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,15,8,0
1,15,9,0
1,15,10,0
1,15,11,0
1,15,12,0
1,15,13,0
1,15,14,0
1,15,15,0
1,15,16,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,16,8,0
1,16,9,0
1,16,10,0
1,16,11,0
1,16,12,0
1,16,13,0
1,16,14,0
1,16,15,0
1,16,16,0
2,1,1,1047838503529067776
2,1,2,1443565428874669056
2,1,3,143657548438763632
2,1,4,359845628475127.125
2,1,5,9017073499693.619140625
2,1,6,182094418666.5244140625
2,1,7,748978375.4306223392486572
2,1,8,16846269.6992926262319088
2,1,9,0.2775259933648904
2,1,10,0
2,1,11,0
2,1,12,0
2,1,13,0
2,1,14,0
2,1,15,0
2,1,16,0
2,2,1,13233289267971502080
2,2,2,18247758712911183872
2,2,3,1821475197372424192
2,2,4,4775791774578108
2,2,5,121728132130786.78125
2,2,6,2480794147826.533203125
2,2,7,10663635765.546539306640625
2,2,8,239853016.7157376110553741
2,2,9,6.204259952566372
2,2,10,0
2,2,11,0
2,2,12,0
2,2,13,0
2,2,14,0
2,2,15,0
2,2,16,0
2,3,1,115586348784423337984
2,3,2,159518841309707698176
2,3,3,15967248461885181952
2,3,4,43606274516987088
2,3,5,1128741582665192
2,3,6,23199772573681.26953125
2,3,7,103786609319.274749755859375
2,3,8,2334487143.6697254180908203
2,3,9,94.1651244842276185
2,3,10,0
2,3,11,0
2,3,12,0
2,3,13,0
2,3,14,0
2,3,15,0
2,3,16,0
2,4,1,800081042897511907328
2,4,2,1105059925971833192448
2,4,3,110905408843515740160
2,4,4,314677159928955392
2,4,5,8265746041026502
2,4,6,171300881363906
2,4,7,795986285804.5911865234375
2,4,8,17904946619.2450370788574219
2,4,9,1142.6197773907222199
2,4,10,0
2,4,11,0
2,4,12,0
2,4,13,0
2,4,14,0
2,4,15,0
2,4,16,0
2,5,1,4392564407165404053504
2,5,2,6071551700259344220160
2,5,3,610890360280149655552
2,5,4,1797051632030971904
2,5,5,47876324787440720
2,5,6,1000310266310718.25
2,5,7,4821775207009.294921875
2,5,8,108468068571.3095703125
2,5,9,11289.3677373930640897
2,5,10,0
2,5,11,0
2,5,12,0
2,5,13,0
2,5,14,0
2,5,15,0
2,5,16,0
2,6,1,18244263814984783364096
2,6,2,25235316975475615596544
2,6,3,2544955116908073451520
2,6,4,7741046639447088128
2,6,5,209059113672695232
2,6,6,4403170470396918
2,6,7,21991676424946.28125
2,6,8,494761477075.1715087890625
2,6,9,88436.184055574805825
2,6,10,0
2,6,11,0
2,6,12,0
2,6,13,0
2,6,14,0
2,6,15,0
2,6,16,0
2,7,1,52014345085372482977792
2,7,2,71984483289489028939776
2,7,3,7272947539485858463744
2,7,4,22760863849642598400
2,7,5,622607048271093504
2,7,6,13215659653930504
2,7,7,68292644675622.078125
2,7,8,1536658096537.22021484375
2,7,9,517394.7619447651668452
2,7,10,0
2,7,11,0
2,7,12,0
2,7,13,0
2,7,14,0
2,7,15,0
2,7,16,0
2,8,1,82381785329951035097088
2,8,2,114015169536872033550336
2,8,3,11522961410059726225408
2,8,4,36572863545039327232
2,8,5,1011253777163727104
2,8,6,21617014807441472
2,8,7,115236686717760.546875
2,8,8,2593588606658.4501953125
2,8,9,2013307.2008924342226237
2,8,10,0
2,8,11,0
2,8,12,0
2,8,13,0
2,8,14,0
2,8,15,0
2,8,16,0
2,9,1,34133360187074622259200
2,9,2,47055013110352525131776
2,9,3,4698680348861647552512
2,9,4,13415748627948357632
2,9,5,368583454571651712
2,9,6,7880468299580001
2,9,7,42362021794037.921875
2,9,8,954061101808.010986328125
2,9,9,3912289.4100598180666566
2,9,10,0
2,9,11,0
2,9,12,0
2,9,13,0
2,9,14,0
2,9,15,0
2,9,16,0
2,10,1,0
2,10,2,0
2,10,3,0
2,10,4,0
2,10,5,0
2,10,6,0
2,10,7,0
2,10,8,0
2,10,9,0
2,10,10,0
2,10,11,0
2,10,12,0
2,10,13,0
2,10,14,0
2,10,15,0
2,10,16,0
2,11,1,0
2,11,2,0
2,11,3,0
2,11,4,0
2,11,5,0
2,11,6,0
2,11,7,0
2,11,8,0
2,11,9,0
2,11,10,0
2,11,11,0
2,11,12,0
2,11,13,0
