dim_1,dim_2,dim_3,value
1,1,1,11271355190.1325492858886719
1,1,2,980312.4912823055638
1,1,3,510.7246978005718461
1,1,4,0.0291260573213247
1,1,5,0.0000015198961349
1,1,6,0.0000000002551177
1,1,7,-5.51622e-17
1,1,8,-4.11374e-21
1,1,9,-3.9552e-30
1,1,10,0
1,1,11,0
1,1,12,0
1,1,13,0
1,1,14,0
1,1,15,0
1,1,16,0
1,2,1,981777.244662853423506
1,2,2,4448946570.4426450729370117
1,2,3,712209.8606099259341136
1,2,4,109.5956347453081889
1,2,5,0.0110174716128551
1,2,6,0.0000024111698536
1,2,7,0.0000000000015222
1,2,8,6.47757e-17
1,2,9,5.1388e-25
1,2,10,0
1,2,11,0
1,2,12,0
1,2,13,0
1,2,14,0
1,2,15,0
1,2,16,0
1,3,1,5801.9500982395938991
1,3,2,3991020.5145913851447403
1,3,3,1836352606.9965715408325195
1,3,4,194230.4531186827516649
1,3,5,36.6637071723269798
1,3,6,0.0099194346721099
1,3,7,0.0000000237255034
1,3,8,0.0000000000032304
1,3,9,-1.7223e-20
1,3,10,0
1,3,11,0
1,3,12,0
1,3,13,0
1,3,14,0
1,3,15,0
1,3,16,0
1,4,1,62.2865513865975302
1,4,2,40004.4410048551872023
1,4,3,4372919.8786959117278457
1,4,4,781897821.3186193704605103
1,4,5,70652.3866739897348452
1,4,6,23.0804063065018248
1,4,7,0.0001977807241526
1,4,8,0.0000000225758917
1,4,9,6.08518e-17
1,4,10,0
1,4,11,0
1,4,12,0
1,4,13,0
1,4,14,0
1,4,15,0
1,4,16,0
1,5,1,0.809239798309025
1,5,2,594.0129447812853414
1,5,3,72384.1080492214969127
1,5,4,3677088.9440258638933301
1,5,5,325797817.3744673132896423
1,5,6,32880.3838981202279683
1,5,7,0.9845796814294249
1,5,8,0.0000892654474748
1,5,9,0.0000000000020839
1,5,10,0
1,5,11,0
1,5,12,0
1,5,13,0
1,5,14,0
1,5,15,0
1,5,16,0
1,6,1,0.0110457067970769
1,6,2,10.7070970926995166
1,6,3,1633.4905287387784938
1,6,4,101457.2655971987260273
1,6,5,2810341.4023109800182283
1,6,6,114182923.2801445424556732
1,6,7,3052.8706427867164166
1,6,8,0.2144149880448957
1,6,9,0.0000000175400873
1,6,10,0
1,6,11,0
1,6,12,0
1,6,13,0
1,6,14,0
1,6,15,0
1,6,16,0
1,7,1,0.0000321437003078
1,7,2,0.0508499310370225
1,7,3,10.8333904299434582
1,7,4,890.2941695069612251
1,7,5,31824.4598194813952432
1,7,6,425832.2534865228808485
1,7,7,23295835.7270073890686035
1,7,8,322.383582469052385
1,7,9,0.0000901825647909
1,7,10,0
1,7,11,0
1,7,12,0
1,7,13,0
1,7,14,0
1,7,15,0
1,7,16,0
1,8,1,0.0000000206682943
1,8,2,0.0000870608052894
1,8,3,0.0314092711281915
1,8,4,3.7402806041054908
1,8,5,183.502537592967343
1,8,6,3288.3405001626460944
1,8,7,61386.6370972515142057
1,8,8,1189469.7098928433842957
1,8,9,0.2908807140128509
1,8,10,0
1,8,11,0
1,8,12,0
1,8,13,0
1,8,14,0
1,8,15,0
1,8,16,0
1,9,1,0.0000000000001954
1,9,2,0.0000000013093371
1,9,3,0.0000012910618637
1,9,4,0.0002672615295423
1,9,5,0.0194907372469044
1,9,6,0.4917004036016878
1,9,7,12.6097152166496755
1,9,8,85.6017483002986381
1,9,9,2313.7780676978127303
1,9,10,0
1,9,11,0
1,9,12,0
1,9,13,0
1,9,14,0
1,9,15,0
1,9,16,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,0
1,10,5,0
1,10,6,0
1,10,7,0
1,10,8,0
1,10,9,0
1,10,10,0
1,10,11,0
1,10,12,0
1,10,13,0
1,10,14,0
1,10,15,0
1,10,16,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,11,5,0
1,11,6,0
1,11,7,0
1,11,8,0
1,11,9,0
1,11,10,0
1,11,11,0
1,11,12,0
1,11,13,0
1,11,14,0
1,11,15,0
1,11,16,0
1,12,1,0
1,12,2,0
1,12,3,0
1,12,4,0
1,12,5,0
1,12,6,0
1,12,7,0
1,12,8,0
1,12,9,0
1,12,10,0
1,12,11,0
1,12,12,0
1,12,13,0
1,12,14,0
1,12,15,0
1,12,16,0
1,13,1,0
1,13,2,0
1,13,3,0
1,13,4,0
1,13,5,0
1,13,6,0
1,13,7,0
1,13,8,0
1,13,9,0
1,13,10,0
1,13,11,0
1,13,12,0
1,13,13,0
1,13,14,0
1,13,15,0
1,13,16,0
1,14,1,0
1,14,2,0
1,14,3,0
1,14,4,0
1,14,5,0
1,14,6,0
1,14,7,0
1,14,8,0
1,14,9,0
1,14,10,0
1,14,11,0
1,14,12,0
1,14,13,0
1,14,14,0
1,14,15,0
1,14,16,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,15,8,0
1,15,9,0
1,15,10,0
1,15,11,0
1,15,12,0
1,15,13,0
1,15,14,0
1,15,15,0
1,15,16,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
